63027,22552,39609,40475,98672,-254,744,12566,14538,15304,-28658,43512
39056,10060,25015,28995,114405,4564,415,12887,17532,16784,-25530,16110
68832,22218,50092,46613,105985,-3530,474,26834,17486,16658,-29031,19222
49712,9652,28317,40060,108168,7918,543,35494,15954,8872,-16378,24917
40250,13921,25124,26328,130327,2230,789,29323,12003,10404,-1512,9654
53432,15864,37165,37568,120567,5988,198,13851,10714,11378,-20510,25947
43790,13533,42690,30256,125002,13289,190,22708,11423,10591,-20020,40027
49706,13040,31334,36665,108648,-7825,688,31350,16509,15176,-502,18343
31232,17715,15500,13516,120055,499,608,21435,9258,14764,-21724,36444
53572,20460,33100,33111,110966,7044,81,15058,12812,12001,-1734,15620
57300,24188,46999,33111,116806,5766,416,16515,18622,8518,-33441,13249
44318,12537,36098,31780,124115,5415,664,9502,19175,7257,-32893,19569
31276,3144,32562,28131,129011,3623,534,31164,18608,8440,4482,24651
41729,12254,30122,29475,116585,-1244,468,28559,12463,14196,-20392,33026
43922,14177,37832,29744,134461,6451,280,12471,16896,10326,-4986,22466
54919,21062,42199,33857,125212,2432,175,23079,14219,14141,3780,24927
63073,24413,53999,38659,106424,15779,666,11969,17689,7637,-14183,44233
45540,13069,30298,32471,117980,-4987,567,23888,9101,7709,-19379,20364
36125,22758,29000,13366,115577,-3237,126,25620,15743,11556,-18108,24115
54124,26650,35329,27474,121447,1571,928,14668,13570,16129,-17630,28190
26147,10759,14000,15388,125203,-10093,391,9871,8640,15780,-19650,43955
44551,21931,26785,22619,111072,2652,527,32427,10224,11713,-28506,28046
66879,24891,49278,41987,113477,-2005,677,12427,8249,7587,-3963,27358
50819,15402,42528,35417,112192,10869,678,7110,7248,9947,-17379,14718
44936,17443,27780,27492,117980,5569,816,27521,13835,13547,-2925,36045
38663,12986,39999,25676,124914,2703,815,30204,7528,9282,-2817,31519
59595,31998,46560,27597,119330,1474,477,8605,8305,8537,-29,40582
31484,7826,24284,23657,113833,4393,713,9710,8100,11855,-26650,12659
32090,6989,35998,25101,132264,6413,872,24462,11639,11004,-16407,38891
35703,19443,20700,16260,137540,-263,882,32586,12727,9535,-14695,38745
52419,19011,35872,33407,116559,1694,59,30019,18911,16647,-26328,39275
35492,11701,15590,23790,106938,-3460,743,15398,9323,16716,-2488,20007
66285,26327,47499,39957,121219,-799,647,9046,10263,13503,1138,34368
56030,16297,62275,39732,114023,-2325,72,24861,12234,14164,-30035,22465
50912,23015,46999,27897,117422,-2526,319,30638,18618,15559,2537,9431
41352,16577,30706,24775,113266,-4497,982,29255,16706,16387,-3494,14526
40557,17977,34000,22579,121046,-1537,11,31669,8252,7882,-9567,11923
41767,17899,20030,23868,118363,2062,371,21113,7164,9820,-6841,11615
55285,20440,34000,34845,115877,3558,680,16711,15971,14376,4779,43261
74433,41557,27700,32876,107949,5000,606,32628,9806,11621,-10028,9314
50209,29760,36104,20449,128292,5740,31,36143,13990,12909,-30430,31699
30149,11917,34000,18232,112684,11463,659,12096,10707,16184,-4763,26891
47657,13277,36679,34380,98249,6273,972,18204,16981,12327,-26375,14133
43203,19663,35000,23540,124846,-2919,16,26823,16290,14761,-24294,23884
48109,14930,35564,33178,124056,7947,623,33594,14176,15868,2502,23076
74377,32053,78772,42324,143560,56125,159,35952,15397,11711,-18628,22562
44529,9433,51999,35095,134711,29106,116,22054,13759,16779,-7146,13514
77690,21380,64429,56309,114818,26931,46,24554,15320,11108,-23279,16113
76147,21936,82961,54211,123932,10431,252,21593,7809,11070,-34897,43148
83933,41286,61999,42646,115012,26588,614,8834,7240,9795,-20130,22403
78491,22181,59999,56309,118530,27383,8,7564,12673,8034,-22037,32097
72076,18946,50999,53130,114213,1010,84,12603,9650,10875,-16918,14032
72560,17385,51999,55175,119193,32108,267,26971,18311,13674,-19605,22759
86900,32928,47794,53972,135075,101719,459,25098,8765,8935,-21318,12851
84974,33021,60859,51952,125659,74333,600,25636,17750,7886,4442,13460
55512,20095,43999,35417,122648,34552,672,35090,8656,14358,-33990,25521
70221,39822,68118,30398,148525,145378,946,10384,9574,11223,4641,9847
86753,36043,69221,50710,139414,110860,640,16557,17363,12701,-15088,7007
58782,7667,53338,51115,98501,51584,60,26064,11769,9997,-622,24367
67412,17442,60144,49969,111123,33157,855,18997,12877,11822,-14550,42269
47744,12089,38999,35655,117512,21682,652,23206,14757,8431,-33338,22722
77106,30469,69480,46636,112151,70759,156,10849,13221,11551,-1860,18603
74005,21122,57379,52883,120205,74555,406,10589,12594,15874,-10624,31969
88623,29089,47564,59534,121764,51805,770,13196,13659,15271,-4208,32934
